byte,nJ,dram_acc
2048,2405003.54006735,2366903.0
6144,2394196.2472126,2349117.0
10240,2383544.40967544,2331346.0
14336,2372365.12728481,2313575.0
18432,2361103.83944396,2295981.0
22528,2351613.8617719,2280058.0
26624,2340942.2797984,2263055.0
30720,2330172.675213,2246037.0
34816,2319491.3563453,2229034.0
38912,2309748.0376663003,2213159.0
43008,2300481.29333,2197821.0
47104,2291419.7118754,2182754.0
51200,2282285.230248,2167687.0
55296,2273328.4745662,2152861.0
59392,2265441.370718,2139130.0
63488,2256359.4675354,2124319.0
67584,2236345.4758969,2110453.0
71680,2227014.6007296,2097562.0
75776,2218068.5389479,2085319.0
79872,2208538.1813457003,2072541.0
83968,2198991.6119111003,2059778.0
88064,2189413.9717357997,2047015.0
92160,2179789.6117912,2034237.0
96256,2171409.2832353,2022682.0
100352,2161873.6464777,2010047.0
104448,2153244.9155707,1998309.0
108544,2144720.6531732,1986698.0
112640,2136981.0166138997,1975863.0
116736,2128385.8094250998,1964237.0
120832,2111630.2957176,1952754.0
124928,2102368.3487052,1941143.0
129024,2093204.4299883,1929645.0
133120,2085227.6432367,1919306.0
137216,2077270.629608,1908999.0
141312,2069748.997713,1899125.0
145408,2062523.9132941,1889550.0
149504,2056112.6004398,1880767.0
153600,2050606.2232581,1872861.0
157696,2044963.870767,1864838.0
161792,2039442.1488496,1856943.0
165888,2033760.7194055999,1848909.0
169984,2028666.6749036,1841446.0
174080,2022970.2635446,1833423.0
178176,2017383.5611035,1825517.0
182272,2011660.2884197,1817494.0
186368,2006058.2971768,1809599.0
190464,2000380.4128286,1801645.0
194560,1994920.7768987,1793910.0
198656,1989397.238891,1786127.0
202752,1984323.2910865,1778781.0
206848,1979621.853434,1771798.0
210944,1974585.7148032999,1764511.0
215040,1969389.8476884,1757085.0
219136,1964397.058369,1749862.0
223232,1959255.9318566,1742511.0
227328,1954302.4700023,1735277.0
231424,1949136.6249867,1727926.0
235520,1944111.2964196,1720703.0
239616,1938270.163273,1713341.0
243712,1934987.3374370001,1706550.0
247808,1929759.3082659,1699199.0
251904,1924644.2439144,1691965.0
256000,1919391.6488077,1684614.0
260096,1914263.7534842,1677391.0
264192,1909140.0781262,1670365.0
268288,1901629.0107225,1663814.0
272384,1897014.4021481,1657135.0
276480,1892514.2582021,1650573.0
280576,1888341.6642309,1644326.0
288768,1882072.6275913,1631085.0
292864,1877289.1164108,1624534.0
296960,1872513.8946912,1617999.0
301056,1868009.9487485,1611725.0
317440,1850125.9253877,1586838.0
321536,1845455.1945271,1580447.0
325632,1840901.878037,1574173.0
329728,1836214.1986437999,1567782.0
333824,1831655.929868,1561519.0
337920,1826939.6968508,1555117.0
342016,1822364.9677476,1548854.0
346112,1817639.7826145,1542559.0
350208,1813485.5946846,1536701.0
354304,1809664.0209659,1531158.0
358400,1805576.4475304,1525311.0
362496,1801261.3303233,1519325.0
366592,1797088.4885838,1513478.0
370688,1792769.2577962,1507503.0
374784,1788462.5665107,1501645.0
378880,1784127.8859103,1495670.0
382976,1779924.3153334,1489823.0
387072,1775562.0894547,1483837.0
391168,1771812.1116832,1478422.0
395264,1767446.6361707,1472447.0
399360,1763304.9476285,1466685.0
403456,1759132.7589902,1460902.0
407552,1755092.2867037,1455247.0
411648,1750892.8670666,1449453.0
415744,1747821.4362392,1444701.0
419840,1744734.8973969,1439941.0
423936,1741773.1711927,1435301.0
428032,1739145.9475781,1430973.0
432128,1736180.8337822,1426341.0
436224,1733061.1355492,1421573.0
